Date_Text,Open,High,Low,Adj Close,Close,Volume
01/00/1900, $56.41 , $56.64 , $55.75 , $34.39 , $56.30 ,"1,025,800"
01/00/1900, $56.45 , $56.75 , $55.77 , $34.61 , $56.66 ,"2,985,300"
01/00/1900, $56.83 , $57.55 , $56.73 , $35.16 , $57.55 ,"852,800"
01/00/1900, $57.64 , $58.81 , $57.58 , $35.70 , $58.44 ,"1,528,800"
01/00/1900, $58.23 , $58.78 , $57.78 , $35.81 , $58.31 ,"2,106,300"
01/00/1900, $58.38 , $58.91 , $57.59 , $35.92 , $58.48 ,"2,313,800"
01/00/1900, $58.48 , $58.63 , $57.95 , $35.87 , $58.41 ,"1,725,700"
01/00/1900, $58.19 , $58.86 , $57.27 , $36.01 , $58.63 ,"1,635,000"
01/00/1900, $58.45 , $59.19 , $58.30 , $36.13 , $58.83 ,"2,066,700"
01/00/1900, $58.55 , $58.89 , $57.28 , $35.74 , $58.19 ,"2,520,500"
01/00/1900, $58.33 , $59.25 , $58.23 , $36.38 , $59.23 ,"2,353,600"
01/00/1900, $59.22 , $59.61 , $58.63 , $36.56 , $59.53 ,"2,325,900"
01/00/1900, $59.42 , $60.20 , $59.08 , $36.97 , $60.19 ,"2,589,700"
01/00/1900, $60.28 , $60.38 , $59.86 , $37.05 , $60.33 ,"982,000"
01/00/1900, $60.45 , $61.20 , $60.16 , $37.46 , $60.98 ,"2,052,600"
01/00/1900, $61.13 , $62.53 , $61.05 , $38.18 , $62.16 ,"2,058,800"
01/00/1900, $62.28 , $62.80 , $61.59 , $37.96 , $61.81 ,"1,688,300"
01/00/1900, $61.27 , $61.52 , $60.58 , $37.82 , $61.20 ,"4,425,100"
01/00/1900, $61.45 , $61.66 , $61.25 , $38.00 , $61.48 ,"1,179,400"
01/00/1900, $61.41 , $62.63 , $61.17 , $38.06 , $61.59 ,"2,556,800"
01/00/1900, $61.81 , $62.06 , $59.64 , $37.22 , $60.23 ,"2,286,700"
01/00/1900, $60.25 , $61.42 , $59.86 , $37.86 , $61.27 ,"1,611,800"
01/00/1900, $61.22 , $62.27 , $61.11 , $38.46 , $62.23 ,"3,181,600"
01/00/1900, $62.19 , $64.02 , $62.14 , $39.33 , $63.64 ,"1,895,000"
01/00/1900, $63.53 , $66.38 , $63.44 , $40.68 , $65.83 ,"3,513,200"
01/00/1900, $65.95 , $66.69 , $64.73 , $40.13 , $64.94 ,"3,599,400"
01/00/1900, $64.44 , $66.61 , $63.88 , $40.75 , $65.94 ,"3,078,100"
01/00/1900, $65.75 , $65.89 , $63.61 , $40.10 , $64.89 ,"5,242,200"
01/00/1900, $65.03 , $65.97 , $62.00 , $39.24 , $63.50 ,"4,503,400"
01/00/1900, $63.25 , $64.81 , $62.91 , $39.63 , $64.13 ,"5,510,800"
01/00/1900, $64.72 , $65.94 , $64.58 , $40.44 , $65.16 ,"3,515,500"
01/00/1900, $65.75 , $65.81 , $64.38 , $40.15 , $64.69 ,"4,040,400"
01/00/1900, $65.00 , $65.72 , $64.80 , $40.67 , $65.52 ,"2,635,100"
01/00/1900, $63.88 , $64.64 , $62.13 , $39.55 , $63.72 ,"6,024,900"
01/00/1900, $64.05 , $64.86 , $63.84 , $40.06 , $64.53 ,"3,142,900"
01/00/1900, $65.13 , $65.81 , $64.59 , $40.62 , $65.44 ,"2,792,100"
01/00/1900, $65.16 , $65.80 , $63.75 , $39.92 , $64.31 ,"3,595,100"
01/00/1900, $64.56 , $65.59 , $63.08 , $40.58 , $65.38 ,"4,442,800"
01/00/1900, $65.53 , $67.31 , $65.47 , $41.70 , $67.19 ,"2,908,000"
01/00/1900, $67.66 , $68.44 , $66.98 , $42.32 , $68.17 ,"3,986,300"
01/00/1900, $68.38 , $68.38 , $66.75 , $41.51 , $66.88 ,"2,925,300"
01/00/1900, $66.89 , $68.50 , $66.19 , $41.98 , $67.63 ,"3,504,300"
01/00/1900, $67.53 , $68.03 , $66.72 , $41.55 , $66.94 ,"5,328,300"
01/00/1900, $66.97 , $67.22 , $66.19 , $41.47 , $66.81 ,"4,178,800"
01/00/1900, $66.97 , $67.50 , $66.16 , $41.88 , $67.11 ,"3,860,400"
01/00/1900, $67.28 , $67.70 , $65.38 , $40.92 , $65.58 ,"2,011,900"
01/00/1900, $65.63 , $65.98 , $63.88 , $40.29 , $64.56 ,"5,690,000"
01/00/1900, $64.72 , $64.72 , $60.38 , $39.92 , $63.97 ,"10,081,300"
01/00/1900, $63.53 , $63.94 , $61.63 , $39.76 , $63.72 ,"7,095,100"
01/00/1900, $63.63 , $66.59 , $62.94 , $41.54 , $66.56 ,"6,200,300"
01/00/1900, $66.58 , $66.77 , $65.80 , $41.32 , $66.22 ,"3,841,900"
01/00/1900, $66.25 , $66.88 , $66.00 , $41.71 , $66.84 ,"3,210,900"
01/00/1900, $66.86 , $67.34 , $66.38 , $41.72 , $66.86 ,"2,690,400"
01/00/1900, $66.70 , $67.00 , $65.13 , $40.77 , $65.33 ,"3,582,800"
01/00/1900, $64.47 , $66.75 , $64.38 , $41.15 , $65.94 ,"4,133,700"
01/00/1900, $66.19 , $68.63 , $66.08 , $42.78 , $68.56 ,"4,824,700"
01/00/1900, $68.66 , $69.16 , $68.22 , $42.83 , $68.64 ,"3,408,800"
01/00/1900, $68.47 , $69.25 , $68.16 , $43.08 , $68.69 ,"4,270,700"
01/00/1900, $68.78 , $70.34 , $68.44 , $44.12 , $70.34 ,"2,844,900"
01/00/1900, $70.31 , $70.69 , $69.38 , $44.10 , $70.31 ,"3,043,600"
01/00/1900, $70.31 , $71.31 , $69.94 , $44.67 , $71.22 ,"3,056,900"
01/00/1900, $71.28 , $71.63 , $70.13 , $44.10 , $70.31 ,"3,411,600"
01/00/1900, $70.38 , $71.16 , $69.70 , $44.28 , $70.59 ,"3,834,300"
01/00/1900, $70.69 , $73.44 , $70.53 , $46.05 , $73.42 ,"6,839,400"
01/00/1900, $73.25 , $74.50 , $73.02 , $46.43 , $74.03 ,"4,667,400"
01/00/1900, $74.17 , $75.25 , $73.73 , $47.15 , $75.17 ,"4,895,600"
01/00/1900, $75.25 , $76.69 , $75.08 , $47.68 , $76.02 ,"6,866,000"
01/00/1900, $75.92 , $76.58 , $72.66 , $46.61 , $74.31 ,"10,593,000"
01/00/1900, $74.69 , $75.67 , $72.41 , $45.98 , $73.31 ,"9,262,600"
01/00/1900, $73.50 , $75.72 , $71.88 , $46.94 , $74.84 ,"9,333,600"
01/00/1900, $75.09 , $76.03 , $74.33 , $47.82 , $75.88 ,"3,691,400"
01/00/1900, $76.13 , $76.13 , $72.75 , $47.33 , $75.09 ,"6,227,300"
01/00/1900, $75.09 , $76.25 , $74.13 , $47.98 , $76.13 ,"7,900,500"
01/00/1900, $76.50 , $77.75 , $75.64 , $48.89 , $77.56 ,"7,972,100"
01/00/1900, $77.75 , $79.69 , $76.75 , $48.38 , $76.75 ,"10,654,400"
01/00/1900, $76.88 , $79.41 , $76.00 , $49.42 , $78.41 ,"12,941,600"
01/00/1900, $78.72 , $79.47 , $77.13 , $49.93 , $79.22 ,"8,468,600"
01/00/1900, $79.25 , $81.56 , $78.13 , $51.17 , $81.19 ,"8,227,400"
01/00/1900, $81.34 , $82.00 , $80.14 , $50.66 , $80.38 ,"4,519,500"
01/00/1900, $79.97 , $81.53 , $79.06 , $49.89 , $79.16 ,"8,813,300"
01/00/1900, $78.75 , $81.16 , $78.69 , $50.96 , $80.84 ,"7,331,700"
01/00/1900, $80.94 , $81.80 , $79.06 , $50.23 , $79.69 ,"6,911,900"
01/00/1900, $79.25 , $80.11 , $77.88 , $49.44 , $78.44 ,"10,494,800"
01/00/1900, $78.50 , $79.97 , $76.16 , $48.72 , $77.00 ,"8,505,200"
01/00/1900, $76.91 , $77.13 , $74.16 , $47.99 , $75.84 ,"16,145,200"
01/00/1900, $76.19 , $77.05 , $73.38 , $46.43 , $73.38 ,"13,090,200"
01/00/1900, $73.73 , $77.00 , $73.31 , $48.44 , $76.56 ,"12,110,300"
01/00/1900, $76.75 , $78.28 , $75.47 , $48.42 , $76.53 ,"12,368,200"
01/00/1900, $76.50 , $81.67 , $76.38 , $51.53 , $81.44 ,"11,833,900"
01/00/1900, $81.66 , $83.56 , $81.19 , $52.28 , $82.63 ,"13,166,400"
01/00/1900, $82.94 , $84.59 , $82.88 , $52.65 , $83.22 ,"9,143,300"
01/00/1900, $83.31 , $85.22 , $82.75 , $53.64 , $84.78 ,"5,892,200"
01/00/1900, $84.38 , $85.56 , $83.13 , $53.88 , $85.16 ,"5,673,700"
01/00/1900, $85.34 , $86.44 , $84.08 , $54.65 , $86.38 ,"6,796,200"
01/00/1900, $86.44 , $90.00 , $86.34 , $56.77 , $89.72 ,"11,120,900"
01/00/1900, $89.75 , $90.50 , $88.94 , $56.68 , $89.58 ,"8,247,200"
01/00/1900, $89.41 , $90.25 , $87.34 , $56.47 , $88.91 ,"18,783,300"
01/00/1900, $88.91 , $92.16 , $87.88 , $58.48 , $92.06 ,"8,634,800"
01/00/1900, $92.38 , $92.50 , $90.03 , $58.30 , $91.78 ,"14,276,500"
01/00/1900, $91.89 , $94.09 , $91.06 , $57.99 , $91.30 ,"14,547,500"
01/00/1900, $91.28 , $94.81 , $90.69 , $59.73 , $94.03 ,"17,775,500"
01/00/1900, $94.25 , $96.03 , $93.42 , $60.30 , $94.94 ,"19,588,000"
01/00/1900, $94.78 , $96.63 , $92.41 , $59.31 , $93.38 ,"17,039,400"
01/00/1900, $93.75 , $94.55 , $89.63 , $57.03 , $89.78 ,"27,840,500"
01/00/1900, $90.38 , $94.31 , $89.34 , $58.79 , $92.56 ,"26,486,700"
01/00/1900, $92.78 , $93.41 , $89.72 , $57.40 , $90.38 ,"20,602,500"
01/00/1900, $90.69 , $94.44 , $90.59 , $59.16 , $93.14 ,"16,243,500"
01/00/1900, $93.72 , $94.28 , $90.25 , $58.85 , $92.66 ,"20,076,300"
01/00/1900, $92.66 , $96.38 , $92.19 , $60.36 , $95.03 ,"17,871,300"
01/00/1900, $95.50 , $96.20 , $93.63 , $60.22 , $94.47 ,"18,248,500"
01/00/1900, $94.50 , $97.75 , $94.16 , $61.61 , $96.64 ,"18,847,500"
01/00/1900, $97.31 , $98.50 , $96.22 , $61.76 , $96.88 ,"15,010,000"
01/00/1900, $97.34 , $97.55 , $93.00 , $60.11 , $94.28 ,"24,237,100"
01/00/1900, $94.84 , $97.50 , $93.67 , $59.93 , $94.00 ,"28,179,800"
01/00/1900, $93.02 , $93.94 , $84.38 , $58.69 , $92.06 ,"57,368,700"
01/00/1900, $93.19 , $95.28 , $91.44 , $59.25 , $92.94 ,"28,065,700"
01/00/1900, $93.63 , $93.84 , $90.09 , $59.33 , $93.06 ,"28,753,100"
01/00/1900, $94.38 , $96.81 , $92.75 , $61.68 , $96.75 ,"23,230,600"
01/00/1900, $96.00 , $96.34 , $94.63 , $60.96 , $95.63 ,"13,108,000"
01/00/1900, $96.22 , $99.00 , $96.03 , $63.07 , $98.94 ,"16,459,600"
01/00/1900, $98.97 , $99.00 , $94.91 , $61.04 , $95.75 ,"17,101,800"
