Date_Text,Open,High,Low,Adj_Close,Volume,Month,Day,Year,Quarter,Close,GDP,DXY, All_Emp_Total_Nonfarm,Fredgraph,FEDFUNDS
8/16/1993,$45.16 ,$45.88 ,$45.16 ,26.61,1134600.00,8,16,1993,1993Q3,45.81,6882.1,93.94,109992,3.02,3.07
8/23/1993,$45.63 ,$46.53 ,$45.63 ,26.86,677000.00,8,23,1993,1993Q3,46.25,6882.1,93.68,109992,3.02,3.07
8/30/1993,$46.28 ,$46.59 ,$46.25 ,26.93,1489400.00,8,30,1993,1993Q3,46.38,6882.1,93.62,109992,3.02,3.07
9/6/1993,$46.38 ,$46.44 ,$45.59 ,26.95,812000.00,9,6,1993,1993Q3,46.41,6882.1,92.08,109992,3.02,3.07
9/13/1993,$46.56 ,$46.56 ,$45.75 ,26.61,607600.00,9,13,1993,1993Q3,45.81,6882.1,91.18,109992,3.02,3.07
9/20/1993,$45.88 ,$45.97 ,$44.81 ,26.75,957700.00,9,20,1993,1993Q3,45.78,6882.1,91.4,109992,3.02,3.07
9/27/1993,$46.13 ,$46.31 ,$45.81 ,26.97,775900.00,9,27,1993,1993Q3,46.16,6882.1,92.25,109992,3.02,3.07
10/4/1993,$46.22 ,$46.38 ,$45.72 ,26.92,1798000.00,10,4,1993,1993Q4,46.06,7013.7,92.35,109992,3.02,3.07
10/11/1993,$46.16 ,$47.16 ,$46.16 ,27.5,2243000.00,10,11,1993,1993Q4,47.06,7013.7,91.71,109992,3.02,3.07
10/18/1993,$47.03 ,$47.03 ,$46.38 ,27.1,2279800.00,10,18,1993,1993Q4,46.38,7013.7,93.36,109992,3.02,3.07
10/25/1993,$46.41 ,$46.97 ,$46.28 ,27.37,629400.00,10,25,1993,1993Q4,46.84,7013.7,94.81,109992,3.02,3.07
11/1/1993,$46.78 ,$47.00 ,$45.53 ,26.92,1271200.00,11,1,1993,1993Q4,46.06,7013.7,95.28,111989,2.74,3.02
11/8/1993,$46.09 ,$46.75 ,$45.97 ,27.23,858100.00,11,8,1993,1993Q4,46.59,7013.7,94.6,111989,2.74,3.02
11/15/1993,$46.69 ,$46.81 ,$46.22 ,27.06,1122300.00,11,15,1993,1993Q4,46.31,7013.7,94.95,111989,2.74,3.02
11/22/1993,$46.19 ,$46.59 ,$45.88 ,27.17,1352000.00,11,22,1993,1993Q4,46.5,7013.7,95.78,111989,2.74,3.02
11/29/1993,$46.63 ,$46.72 ,$46.25 ,27.3,1784700.00,11,29,1993,1993Q4,46.72,7013.7,95.95,111989,2.74,3.02
12/6/1993,$46.78 ,$46.94 ,$46.50 ,27.23,1164400.00,12,6,1993,1993Q4,46.59,7013.7,94.98,111989,2.74,3.02
12/13/1993,$46.59 ,$46.91 ,$46.38 ,27.21,580600.00,12,13,1993,1993Q4,46.56,7013.7,95.51,111989,2.74,3.02
12/20/1993,$46.53 ,$46.84 ,$46.41 ,27.51,1218600.00,12,20,1993,1993Q4,46.75,7013.7,95.73,111989,2.74,3.02
12/27/1993,$46.75 ,$47.16 ,$46.56 ,27.41,2127200.00,12,27,1993,1993Q4,46.59,7013.7,95.24,111989,2.74,3.02
1/3/1994,$46.59 ,$47.06 ,$46.41 ,27.67,2812600.00,1,3,1994,1994Q1,47.03,7115.7,96.97,111989,2.74,3.02
1/10/1994,$47.09 ,$47.59 ,$46.97 ,27.89,1428800.00,1,10,1994,1994Q1,47.41,7115.7,96.43,111989,2.74,3.02
1/17/1994,$47.41 ,$47.53 ,$47.25 ,27.87,751600.00,1,17,1994,1994Q1,47.38,7115.7,96.83,111989,2.74,3.02
1/24/1994,$47.34 ,$48.03 ,$47.09 ,28.17,1530300.00,1,24,1994,1994Q1,47.88,7115.7,96.54,111989,2.74,3.02
1/31/1994,$48.06 ,$48.31 ,$46.97 ,27.64,2794300.00,1,31,1994,1994Q1,46.97,7115.7,95.59,111989,2.74,3.02
2/7/1994,$46.84 ,$47.44 ,$46.81 ,27.75,2252500.00,2,7,1994,1994Q1,47.16,7115.7,96.64,111989,2.74,3.02
2/14/1994,$47.06 ,$47.69 ,$46.75 ,27.58,4060100.00,2,14,1994,1994Q1,46.88,7115.7,94.91,111989,2.74,3.02
2/21/1994,$47.00 ,$47.44 ,$46.56 ,27.54,1848300.00,2,21,1994,1994Q1,46.81,7115.7,94.6,111989,2.74,3.02
2/28/1994,$46.94 ,$47.06 ,$45.91 ,27.47,2157100.00,2,28,1994,1994Q1,46.69,7115.7,94.55,111989,2.74,3.02
3/7/1994,$46.84 ,$47.00 ,$46.41 ,27.56,4704200.00,3,7,1994,1994Q1,46.84,7115.7,95.23,111989,2.74,3.02
3/14/1994,$47.03 ,$47.31 ,$46.72 ,27.64,2048500.00,3,14,1994,1994Q1,46.97,7115.7,94.23,111989,2.74,3.02
3/21/1994,$46.81 ,$47.06 ,$45.94 ,27.18,2760400.00,3,21,1994,1994Q1,45.94,7115.7,94.42,111989,2.74,3.02
3/28/1994,$46.00 ,$46.06 ,$43.53 ,26.39,3368300.00,3,28,1994,1994Q1,44.59,7115.7,93.49,111989,2.74,3.02
4/4/1994,$43.34 ,$45.13 ,$43.34 ,26.44,5231300.00,4,4,1994,1994Q2,44.69,7246.9,94.32,111989,2.74,3.02
4/11/1994,$44.81 ,$45.06 ,$44.25 ,26.39,2783800.00,4,11,1994,1994Q2,44.59,7246.9,94.71,111989,2.74,3.02
4/18/1994,$44.64 ,$45.05 ,$43.98 ,26.55,1851400.00,4,18,1994,1994Q2,44.86,7246.9,94.64,111989,2.74,3.02
4/25/1994,$44.84 ,$45.36 ,$44.81 ,26.69,1562500.00,4,25,1994,1994Q2,45.09,7246.9,93.6,111989,2.74,3.02
5/2/1994,$45.09 ,$45.72 ,$44.59 ,26.48,1736400.00,5,2,1994,1994Q2,44.75,7246.9,92.06,111989,2.74,3.02
5/9/1994,$44.63 ,$44.84 ,$44.17 ,26.34,1919800.00,5,9,1994,1994Q2,44.52,7246.9,92.47,111989,2.74,3.02
5/16/1994,$44.61 ,$45.86 ,$44.50 ,26.96,2646800.00,5,16,1994,1994Q2,45.56,7246.9,93.42,111989,2.74,3.02
5/23/1994,$45.52 ,$45.94 ,$45.34 ,27.15,2082100.00,5,23,1994,1994Q2,45.88,7246.9,92.24,111989,2.74,3.02
5/30/1994,$45.73 ,$46.39 ,$45.56 ,27.36,966000.00,5,30,1994,1994Q2,46.23,7246.9,92.32,111989,2.74,3.02
6/6/1994,$46.33 ,$46.47 ,$45.78 ,27.29,515400.00,6,6,1994,1994Q2,46.11,7246.9,93.39,111989,2.74,3.02
6/13/1994,$46.05 ,$46.56 ,$45.81 ,27.15,861300.00,6,13,1994,1994Q2,45.88,7246.9,92.17,111989,2.74,3.02
6/20/1994,$45.55 ,$45.63 ,$44.00 ,26.25,1832800.00,6,20,1994,1994Q2,44.06,7246.9,90.45,111989,2.74,3.02
6/27/1994,$44.23 ,$45.02 ,$44.02 ,26.54,6744100.00,6,27,1994,1994Q2,44.56,7246.9,89.6,111989,2.74,3.02
7/4/1994,$44.66 ,$44.98 ,$44.47 ,26.75,501900.00,7,4,1994,1994Q3,44.91,7331.1,90.01,111989,2.74,3.02
7/11/1994,$44.94 ,$45.48 ,$44.52 ,27.04,1457300.00,7,11,1994,1994Q3,45.39,7331.1,87.31,111989,2.74,3.02
7/18/1994,$45.39 ,$45.58 ,$45.06 ,27.01,1105000.00,7,18,1994,1994Q3,45.34,7331.1,88.13,111989,2.74,3.02
7/25/1994,$45.36 ,$46.05 ,$45.17 ,27.35,1981000.00,7,25,1994,1994Q3,45.91,7331.1,89.84,111989,2.74,3.02
8/1/1994,$45.94 ,$46.38 ,$45.66 ,27.27,1506000.00,8,1,1994,1994Q3,45.78,7331.1,89.56,114899,2.9,4.47
8/8/1994,$45.83 ,$46.34 ,$45.72 ,27.6,2335100.00,8,8,1994,1994Q3,46.33,7331.1,89.91,114899,2.9,4.47
8/15/1994,$46.38 ,$46.73 ,$46.16 ,27.65,2272300.00,8,15,1994,1994Q3,46.42,7331.1,88.91,114899,2.9,4.47
8/22/1994,$46.44 ,$47.78 ,$46.28 ,28.41,1089900.00,8,22,1994,1994Q3,47.69,7331.1,87.44,114899,2.9,4.47
8/29/1994,$47.81 ,$47.98 ,$47.22 ,28.17,1136700.00,8,29,1994,1994Q3,47.3,7331.1,89.57,114899,2.9,4.47
9/5/1994,$47.27 ,$47.56 ,$46.81 ,28,1030900.00,9,5,1994,1994Q3,47,7331.1,88.43,114899,2.9,4.47
9/12/1994,$47.00 ,$47.64 ,$46.78 ,28.01,2293200.00,9,12,1994,1994Q3,47.02,7331.1,87.85,114899,2.9,4.47
9/19/1994,$47.13 ,$47.33 ,$45.73 ,27.51,1363400.00,9,19,1994,1994Q3,45.91,7331.1,87.84,114899,2.9,4.47
9/26/1994,$46.08 ,$46.53 ,$45.98 ,27.67,1227600.00,9,26,1994,1994Q3,46.17,7331.1,87.99,114899,2.9,4.47
10/3/1994,$46.20 ,$46.30 ,$45.00 ,27.24,1152600.00,10,3,1994,1994Q4,45.45,7455.3,88.02,114899,2.9,4.47
10/10/1994,$45.66 ,$47.33 ,$45.64 ,28.2,2474700.00,10,10,1994,1994Q4,47.05,7455.3,87.82,114899,2.9,4.47
10/17/1994,$47.00 ,$47.23 ,$46.36 ,27.91,929200.00,10,17,1994,1994Q4,46.56,7455.3,85.78,114899,2.9,4.47
10/24/1994,$46.58 ,$47.70 ,$46.00 ,28.56,844800.00,10,24,1994,1994Q4,47.66,7455.3,85.32,114899,2.9,4.47
10/31/1994,$47.55 ,$47.59 ,$46.33 ,27.76,798500.00,10,31,1994,1994Q4,46.33,7455.3,85.69,114899,2.9,4.47
11/7/1994,$46.44 ,$47.33 ,$46.28 ,27.81,1216100.00,11,7,1994,1994Q4,46.41,7455.3,86.48,114899,2.9,4.47
11/14/1994,$46.61 ,$47.09 ,$46.27 ,27.85,979200.00,11,14,1994,1994Q4,46.47,7455.3,87.75,114899,2.9,4.47
11/21/1994,$46.44 ,$46.58 ,$44.61 ,27.25,1445600.00,11,21,1994,1994Q4,45.47,7455.3,88.43,114899,2.9,4.47
11/28/1994,$45.45 ,$45.95 ,$45.05 ,27.31,1161700.00,11,28,1994,1994Q4,45.56,7455.3,88.97,114899,2.9,4.47
12/5/1994,$45.66 ,$45.81 ,$44.69 ,27,1418400.00,12,5,1994,1994Q4,45.05,7455.3,89.39,114899,2.9,4.47
12/12/1994,$44.95 ,$46.03 ,$44.95 ,27.42,821500.00,12,12,1994,1994Q4,45.75,7455.3,89.54,114899,2.9,4.47
12/19/1994,$45.75 ,$46.27 ,$45.61 ,27.83,2688100.00,12,19,1994,1994Q4,46.06,7455.3,89.7,114899,2.9,4.47
12/26/1994,$46.22 ,$46.41 ,$45.56 ,27.52,2883000.00,12,26,1994,1994Q4,45.56,7455.3,89.96,114899,2.9,4.47
1/2/1995,$45.70 ,$46.25 ,$45.69 ,27.82,1214300.00,1,2,1995,1995Q1,46.05,7522.3,88.73,114899,2.9,4.47
1/9/1995,$46.03 ,$46.73 ,$45.81 ,28.23,699900.00,1,9,1995,1995Q1,46.73,7522.3,88.41,114899,2.9,4.47
1/16/1995,$46.72 ,$47.08 ,$46.45 ,28.12,496900.00,1,16,1995,1995Q1,46.55,7522.3,88.02,114899,2.9,4.47
1/23/1995,$46.23 ,$47.23 ,$46.20 ,28.46,202800.00,1,23,1995,1995Q1,47.11,7522.3,87.38,114899,2.9,4.47
1/30/1995,$47.02 ,$48.11 ,$46.84 ,29.01,1071100.00,1,30,1995,1995Q1,48.03,7522.3,87.1,114899,2.9,4.47
2/6/1995,$48.02 ,$48.47 ,$47.97 ,29.21,2168800.00,2,6,1995,1995Q1,48.36,7522.3,88.19,114899,2.9,4.47
2/13/1995,$48.33 ,$48.77 ,$48.25 ,29.27,829800.00,2,13,1995,1995Q1,48.45,7522.3,87.78,114899,2.9,4.47
2/20/1995,$48.45 ,$49.16 ,$48.42 ,29.6,1264800.00,2,20,1995,1995Q1,49,7522.3,86.43,114899,2.9,4.47
2/27/1995,$48.86 ,$49.03 ,$48.48 ,29.47,1795600.00,2,27,1995,1995Q1,48.78,7522.3,86.2,114899,2.9,4.47
3/6/1995,$48.45 ,$49.39 ,$48.22 ,29.76,678100.00,3,6,1995,1995Q1,49.27,7522.3,83.49,114899,2.9,4.47
3/13/1995,$49.23 ,$49.81 ,$49.17 ,29.94,873400.00,3,13,1995,1995Q1,49.56,7522.3,83.79,114899,2.9,4.47
3/20/1995,$49.63 ,$50.22 ,$49.33 ,30.5,625500.00,3,20,1995,1995Q1,50.22,7522.3,83.75,114899,2.9,4.47
3/27/1995,$50.30 ,$50.89 ,$49.55 ,30.43,1339800.00,3,27,1995,1995Q1,50.11,7522.3,83.45,114899,2.9,4.47
4/3/1995,$50.09 ,$50.86 ,$50.06 ,30.79,1081300.00,4,3,1995,1995Q2,50.7,7581,81.88,114899,2.9,4.47
4/10/1995,$50.63 ,$51.09 ,$50.59 ,31.02,930000.00,4,10,1995,1995Q2,51.08,7581,82.65,114899,2.9,4.47
4/17/1995,$51.27 ,$51.31 ,$50.30 ,30.91,1084300.00,4,17,1995,1995Q2,50.89,7581,80.84,114899,2.9,4.47
4/24/1995,$50.86 ,$51.67 ,$50.86 ,31.34,1299600.00,4,24,1995,1995Q2,51.59,7581,81.61,114899,2.9,4.47
5/1/1995,$51.55 ,$52.69 ,$51.39 ,31.7,2098100.00,5,1,1995,1995Q2,52.19,7581,81.75,117050,3.12,6.01
5/8/1995,$52.14 ,$52.88 ,$52.09 ,32.04,1140300.00,5,8,1995,1995Q2,52.75,7581,80.8,117050,3.12,6.01
5/15/1995,$52.89 ,$53.16 ,$51.91 ,31.64,1499700.00,5,15,1995,1995Q2,52.09,7581,83.71,117050,3.12,6.01
5/22/1995,$52.27 ,$53.42 ,$52.23 ,31.92,1622100.00,5,22,1995,1995Q2,52.56,7581,84.15,117050,3.12,6.01
5/29/1995,$52.69 ,$53.92 ,$52.38 ,32.52,1549000.00,5,29,1995,1995Q2,53.55,7581,81.1,117050,3.12,6.01
6/5/1995,$53.55 ,$54.05 ,$52.75 ,32.23,910900.00,6,5,1995,1995Q2,53.06,7581,82.38,117050,3.12,6.01
6/12/1995,$53.23 ,$54.23 ,$53.20 ,32.78,1487500.00,6,12,1995,1995Q2,53.97,7581,82.29,117050,3.12,6.01
6/19/1995,$54.13 ,$55.16 ,$54.09 ,33.61,1193000.00,6,19,1995,1995Q2,55.02,7581,82.17,117050,3.12,6.01
6/26/1995,$54.86 ,$54.95 ,$54.06 ,33.24,1276500.00,6,26,1995,1995Q2,54.41,7581,81.71,117050,3.12,6.01
7/3/1995,$54.47 ,$55.78 ,$54.47 ,34.07,1103000.00,7,3,1995,1995Q3,55.77,7683.1,81.57,117050,3.12,6.01
7/10/1995,$55.81 ,$56.31 ,$55.45 ,34.24,1783600.00,7,10,1995,1995Q3,56.05,7683.1,81.89,117050,3.12,6.01
7/17/1995,$56.13 ,$56.42 ,$54.20 ,33.85,1292200.00,7,17,1995,1995Q3,55.41,7683.1,82.16,117050,3.12,6.01
7/24/1995,$55.48 ,$56.70 ,$55.48 ,34.39,986900.00,7,24,1995,1995Q3,56.3,7683.1,81.64,117050,3.12,6.01
7/31/1995,$56.34 ,$56.80 ,$55.45 ,34.2,2158000.00,7,31,1995,1995Q3,55.98,7683.1,81.57,117050,3.12,6.01
8/7/1995,$56.11 ,$56.31 ,$55.42 ,34,1790100.00,8,7,1995,1995Q3,55.66,7683.1,82.56,117050,3.12,6.01
8/14/1995,$55.80 ,$56.41 ,$55.66 ,34.32,1113300.00,8,14,1995,1995Q3,56.17,7683.1,84.02,117050,3.12,6.01
8/21/1995,$56.41 ,$56.64 ,$55.75 ,34.39,1025800.00,8,21,1995,1995Q3,56.3,7683.1,85.98,117050,3.12,6.01
8/28/1995,$56.45 ,$56.75 ,$55.77 ,34.61,2985300.00,8,28,1995,1995Q3,56.66,7683.1,85.51,117050,3.12,6.01
9/4/1995,$56.83 ,$57.55 ,$56.73 ,35.16,852800.00,9,4,1995,1995Q3,57.55,7683.1,85.57,117050,3.12,6.01
9/11/1995,$57.64 ,$58.81 ,$57.58 ,35.7,1528800.00,9,11,1995,1995Q3,58.44,7683.1,85.99,117050,3.12,6.01
9/18/1995,$58.23 ,$58.78 ,$57.78 ,35.81,2106300.00,9,18,1995,1995Q3,58.31,7683.1,86.61,117050,3.12,6.01
9/25/1995,$58.38 ,$58.91 ,$57.59 ,35.92,2313800.00,9,25,1995,1995Q3,58.48,7683.1,84.55,117050,3.12,6.01
10/2/1995,$58.48 ,$58.63 ,$57.95 ,35.87,1725700.00,10,2,1995,1995Q4,58.41,7772.6,84.29,117050,3.12,6.01
10/9/1995,$58.19 ,$58.86 ,$57.27 ,36.01,1635000.00,10,9,1995,1995Q4,58.63,7772.6,83.98,117050,3.12,6.01
10/16/1995,$58.45 ,$59.19 ,$58.30 ,36.13,2066700.00,10,16,1995,1995Q4,58.83,7772.6,84.17,117050,3.12,6.01
10/23/1995,$58.55 ,$58.89 ,$57.28 ,35.74,2520500.00,10,23,1995,1995Q4,58.19,7772.6,83.2,117050,3.12,6.01
10/30/1995,$58.33 ,$59.25 ,$58.23 ,36.38,2353600.00,10,30,1995,1995Q4,59.23,7772.6,83.83,117050,3.12,6.01
11/6/1995,$59.22 ,$59.61 ,$58.63 ,36.56,2325900.00,11,6,1995,1995Q4,59.53,7772.6,84.05,117050,3.12,6.01
11/13/1995,$59.42 ,$60.20 ,$59.08 ,36.97,2589700.00,11,13,1995,1995Q4,60.19,7772.6,84.16,117050,3.12,6.01
11/20/1995,$60.28 ,$60.38 ,$59.86 ,37.05,982000.00,11,20,1995,1995Q4,60.33,7772.6,83.61,117050,3.12,6.01
11/27/1995,$60.45 ,$61.20 ,$60.16 ,37.46,2052600.00,11,27,1995,1995Q4,60.98,7772.6,84.54,117050,3.12,6.01
12/4/1995,$61.13 ,$62.53 ,$61.05 ,38.18,2058800.00,12,4,1995,1995Q4,62.16,7772.6,84.97,117050,3.12,6.01
12/11/1995,$62.28 ,$62.80 ,$61.59 ,37.96,1688300.00,12,11,1995,1995Q4,61.81,7772.6,85.21,117050,3.12,6.01
12/18/1995,$61.27 ,$61.52 ,$60.58 ,37.82,4425100.00,12,18,1995,1995Q4,61.2,7772.6,84.63,117050,3.12,6.01
12/25/1995,$61.45 ,$61.66 ,$61.25 ,38,1179400.00,12,25,1995,1995Q4,61.48,7772.6,84.7,117050,3.12,6.01
1/1/1996,$61.41 ,$62.63 ,$61.17 ,38.06,2556800.00,1,1,1996,1996Q1,61.59,7868.5,84.76,118318,2.79,5.56
1/8/1996,$61.81 ,$62.06 ,$59.64 ,37.22,2286700.00,1,8,1996,1996Q1,60.23,7868.5,85.04,118318,2.79,5.56
1/15/1996,$60.25 ,$61.42 ,$59.86 ,37.86,1611800.00,1,15,1996,1996Q1,61.27,7868.5,85.31,118318,2.79,5.56
1/22/1996,$61.22 ,$62.27 ,$61.11 ,38.46,3181600.00,1,22,1996,1996Q1,62.23,7868.5,86.73,118318,2.79,5.56
1/29/1996,$62.19 ,$64.02 ,$62.14 ,39.33,1895000.00,1,29,1996,1996Q1,63.64,7868.5,87.41,118318,2.79,5.56
2/5/1996,$63.53 ,$66.38 ,$63.44 ,40.68,3513200.00,2,5,1996,1996Q1,65.83,7868.5,86.23,118318,2.79,5.56
2/12/1996,$65.95 ,$66.69 ,$64.73 ,40.13,3599400.00,2,12,1996,1996Q1,64.94,7868.5,86.78,118318,2.79,5.56
2/19/1996,$64.44 ,$66.61 ,$63.88 ,40.75,3078100.00,2,19,1996,1996Q1,65.94,7868.5,85.51,118318,2.79,5.56
2/26/1996,$65.75 ,$65.89 ,$63.61 ,40.1,5242200.00,2,26,1996,1996Q1,64.89,7868.5,85.43,118318,2.79,5.56
3/4/1996,$65.03 ,$65.97 ,$62.00 ,39.24,4503400.00,3,4,1996,1996Q1,63.5,7868.5,86.44,118318,2.79,5.56
3/11/1996,$63.25 ,$64.81 ,$62.91 ,39.63,5510800.00,3,11,1996,1996Q1,64.13,7868.5,86.62,118318,2.79,5.56
3/18/1996,$64.72 ,$65.94 ,$64.58 ,40.44,3515500.00,3,18,1996,1996Q1,65.16,7868.5,86.3,118318,2.79,5.56
3/25/1996,$65.75 ,$65.81 ,$64.38 ,40.15,4040400.00,3,25,1996,1996Q1,64.69,7868.5,86.45,118318,2.79,5.56
4/1/1996,$65.00 ,$65.72 ,$64.80 ,40.67,2635100.00,4,1,1996,1996Q2,65.52,8032.8,86.71,119156,2.83,5.22
4/8/1996,$63.88 ,$64.64 ,$62.13 ,39.55,6024900.00,4,8,1996,1996Q2,63.72,8032.8,86.55,119156,2.83,5.22
4/15/1996,$64.05 ,$64.86 ,$63.84 ,40.06,3142900.00,4,15,1996,1996Q2,64.53,8032.8,87.9,119156,2.83,5.22
4/22/1996,$65.13 ,$65.81 ,$64.59 ,40.62,2792100.00,4,22,1996,1996Q2,65.44,8032.8,87.64,119156,2.83,5.22
4/29/1996,$65.16 ,$65.80 ,$63.75 ,39.92,3595100.00,4,29,1996,1996Q2,64.31,8032.8,87.82,119156,2.83,5.22
5/6/1996,$64.56 ,$65.59 ,$63.08 ,40.58,4442800.00,5,6,1996,1996Q2,65.38,8032.8,87.81,119156,2.83,5.22
5/13/1996,$65.53 ,$67.31 ,$65.47 ,41.7,2908000.00,5,13,1996,1996Q2,67.19,8032.8,88.03,119156,2.83,5.22
5/20/1996,$67.66 ,$68.44 ,$66.98 ,42.32,3986300.00,5,20,1996,1996Q2,68.17,8032.8,88.34,119156,2.83,5.22
5/27/1996,$68.38 ,$68.38 ,$66.75 ,41.51,2925300.00,5,27,1996,1996Q2,66.88,8032.8,88.83,119156,2.83,5.22
6/3/1996,$66.89 ,$68.50 ,$66.19 ,41.98,3504300.00,6,3,1996,1996Q2,67.63,8032.8,87.96,119156,2.83,5.22
6/10/1996,$67.53 ,$68.03 ,$66.72 ,41.55,5328300.00,6,10,1996,1996Q2,66.94,8032.8,88.4,119156,2.83,5.22
6/17/1996,$66.97 ,$67.22 ,$66.19 ,41.47,4178800.00,6,17,1996,1996Q2,66.81,8032.8,87.84,119156,2.83,5.22
6/24/1996,$66.97 ,$67.50 ,$66.16 ,41.88,3860400.00,6,24,1996,1996Q2,67.11,8032.8,88.09,119156,2.83,5.22
7/1/1996,$67.28 ,$67.70 ,$65.38 ,40.92,2011900.00,7,1,1996,1996Q3,65.58,8131.4,87.78,120015,2.88,5.4
7/8/1996,$65.63 ,$65.98 ,$63.88 ,40.29,5690000.00,7,8,1996,1996Q3,64.56,8131.4,88.09,120015,2.88,5.4
7/15/1996,$64.72 ,$64.72 ,$60.38 ,39.92,10081300.00,7,15,1996,1996Q3,63.97,8131.4,87.81,120015,2.88,5.4
7/22/1996,$63.53 ,$63.94 ,$61.63 ,39.76,7095100.00,7,22,1996,1996Q3,63.72,8131.4,86.31,120015,2.88,5.4
7/29/1996,$63.63 ,$66.59 ,$62.94 ,41.54,6200300.00,7,29,1996,1996Q3,66.56,8131.4,86.33,120015,2.88,5.4
8/5/1996,$66.58 ,$66.77 ,$65.80 ,41.32,3841900.00,8,5,1996,1996Q3,66.22,8131.4,86.26,120015,2.88,5.4
